기준일자,기준시,본부명,전력사용량,고객호수
2024-12-30,01,강원본부,2201,801315
2024-12-30,02,강원본부,2045,800879
2024-12-30,03,강원본부,1960,800457
2024-12-30,04,강원본부,1927,800413
2024-12-30,05,강원본부,1939,800388
2024-12-30,06,강원본부,2037,800344
2024-12-30,07,강원본부,2078,800201
2024-12-30,08,강원본부,2170,799934
2024-12-30,09,강원본부,2170,799722
2024-12-30,10,강원본부,2197,799661
2024-12-30,11,강원본부,2203,799938
2024-12-30,12,강원본부,2161,800156
2024-12-30,13,강원본부,2140,800485
2024-12-30,14,강원본부,2209,800791
2024-12-30,15,강원본부,2156,801041
2024-12-30,16,강원본부,2091,801258
2024-12-30,17,강원본부,2069,801348
2024-12-30,18,강원본부,2068,801234
2024-12-30,19,강원본부,2016,801278
2024-12-30,20,강원본부,2023,801204
2024-12-30,21,강원본부,2000,801152
2024-12-30,22,강원본부,2010,799625
2024-12-30,23,강원본부,2212,799869
2024-12-30,24,강원본부,2325,801791
2024-12-30,01,충북본부,2583,760603
2024-12-30,02,충북본부,2509,760503
2024-12-30,03,충북본부,2464,760440
2024-12-30,04,충북본부,2469,760337
2024-12-30,05,충북본부,2521,760273
2024-12-30,06,충북본부,2601,760144
2024-12-30,07,충북본부,2736,760168
2024-12-30,08,충북본부,2934,760292
2024-12-30,09,충북본부,3221,760232
2024-12-30,10,충북본부,3336,759728
2024-12-30,11,충북본부,3351,759967
2024-12-30,12,충북본부,3302,760402
2024-12-30,13,충북본부,3144,760691
2024-12-30,14,충북본부,3237,761104
2024-12-30,15,충북본부,3216,761178
2024-12-30,16,충북본부,3154,761199
2024-12-30,17,충북본부,3096,761277
2024-12-30,18,충북본부,2985,761216
2024-12-30,19,충북본부,2896,761157
2024-12-30,20,충북본부,2829,761108
2024-12-30,21,충북본부,2775,761229
2024-12-30,22,충북본부,2720,761352
2024-12-30,23,충북본부,2777,761370
2024-12-30,24,충북본부,2845,761291
2024-12-30,01,대전세종충남본부,6318,1423464
2024-12-30,02,대전세종충남본부,6148,1413385
2024-12-30,03,대전세종충남본부,6076,1411838
2024-12-30,04,대전세종충남본부,6046,1410035
2024-12-30,05,대전세종충남본부,6092,1411209
2024-12-30,06,대전세종충남본부,6212,1411110
2024-12-30,07,대전세종충남본부,6463,1410530
2024-12-30,08,대전세종충남본부,7047,1408898
2024-12-30,09,대전세종충남본부,7758,1409289
2024-12-30,10,대전세종충남본부,7924,1410651
2024-12-30,11,대전세종충남본부,7939,1412780
2024-12-30,12,대전세종충남본부,7851,1413801
2024-12-30,13,대전세종충남본부,7575,1414759
2024-12-30,14,대전세종충남본부,7708,1415582
2024-12-30,15,대전세종충남본부,7683,1415822
2024-12-30,16,대전세종충남본부,7589,1415450
2024-12-30,17,대전세종충남본부,7527,1418437
2024-12-30,18,대전세종충남본부,7370,1418741
2024-12-30,19,대전세종충남본부,7217,1419051
2024-12-30,20,대전세종충남본부,7183,1419134
2024-12-30,21,대전세종충남본부,6946,1419962
2024-12-30,22,대전세종충남본부,6808,1421444
2024-12-30,23,대전세종충남본부,6843,1423734
2024-12-30,24,대전세종충남본부,6822,1424723
2024-12-30,01,전북본부,2092,775124
2024-12-30,02,전북본부,2044,775023
2024-12-30,03,전북본부,1962,774945
2024-12-30,04,전북본부,1948,775220
2024-12-30,05,전북본부,1953,775263
2024-12-30,06,전북본부,2023,774900
2024-12-30,07,전북본부,2102,774937
2024-12-30,08,전북본부,2345,774893
2024-12-30,09,전북본부,2571,775256
2024-12-30,10,전북본부,2702,775281
2024-12-30,11,전북본부,2722,775490
2024-12-30,12,전북본부,2695,775652
2024-12-30,13,전북본부,2552,775962
2024-12-30,14,전북본부,2595,776340
2024-12-30,15,전북본부,2599,776712
2024-12-30,16,전북본부,2551,777019
2024-12-30,17,전북본부,2525,777192
2024-12-30,18,전북본부,2503,777162
2024-12-30,19,전북본부,2455,776809
2024-12-30,20,전북본부,2385,776477
2024-12-30,21,전북본부,2360,776590
2024-12-30,22,전북본부,2317,776832
2024-12-30,23,전북본부,2341,777118
2024-12-30,24,전북본부,2301,776839
2024-12-30,01,광주전남본부,5232,1216865
2024-12-30,02,광주전남본부,5130,1216363
2024-12-30,03,광주전남본부,5079,1216387
2024-12-30,04,광주전남본부,5076,1216820
2024-12-30,05,광주전남본부,5106,1216797
2024-12-30,06,광주전남본부,5183,1216871
2024-12-30,07,광주전남본부,5413,1217375
2024-12-30,08,광주전남본부,5793,1217393
2024-12-30,09,광주전남본부,6228,1217444
2024-12-30,10,광주전남본부,6234,1217553
2024-12-30,11,광주전남본부,6224,1217856
2024-12-30,12,광주전남본부,6181,1217917
2024-12-30,13,광주전남본부,6038,1218315
2024-12-30,14,광주전남본부,6140,1218565
2024-12-30,15,광주전남본부,6075,1219061
2024-12-30,16,광주전남본부,6020,1219377
2024-12-30,17,광주전남본부,5917,1219613
2024-12-30,18,광주전남본부,5912,1219606
2024-12-30,19,광주전남본부,5840,1219959
2024-12-30,20,광주전남본부,5830,1219967
2024-12-30,21,광주전남본부,5721,1220080
2024-12-30,22,광주전남본부,5618,1220100
2024-12-30,23,광주전남본부,5580,1219739
2024-12-30,24,광주전남본부,5512,1219866
2024-12-30,01,대구본부,3333,1462222
2024-12-30,02,대구본부,3197,1462687
2024-12-30,03,대구본부,3110,1463079
2024-12-30,04,대구본부,3062,1462991
2024-12-30,05,대구본부,3112,1463075
2024-12-30,06,대구본부,3240,1463120
2024-12-30,07,대구본부,3579,1454915
2024-12-30,08,대구본부,4201,1454624
2024-12-30,09,대구본부,5114,1462281
2024-12-30,10,대구본부,5507,1461761
2024-12-30,11,대구본부,5527,1462300
2024-12-30,12,대구본부,5348,1462380
2024-12-30,13,대구본부,4948,1462739
2024-12-30,14,대구본부,5192,1462630
2024-12-30,15,대구본부,5203,1462849
2024-12-30,16,대구본부,5088,1462940
2024-12-30,17,대구본부,5008,1462807
2024-12-30,18,대구본부,4850,1462798
2024-12-30,19,대구본부,4678,1462854
2024-12-30,20,대구본부,4517,1462963
2024-12-30,21,대구본부,4326,1463564
2024-12-30,22,대구본부,4174,1463848
2024-12-30,23,대구본부,4084,1463115
2024-12-30,24,대구본부,4028,1464577
2024-12-30,01,경북본부,1672,640481
2024-12-30,02,경북본부,1610,640330
2024-12-30,03,경북본부,1574,640414
2024-12-30,04,경북본부,1555,640354
2024-12-30,05,경북본부,1570,640383
2024-12-30,06,경북본부,1603,640246
2024-12-30,07,경북본부,1667,640262
2024-12-30,08,경북본부,1774,640139
2024-12-30,09,경북본부,1967,639795
2024-12-30,10,경북본부,2024,639683
2024-12-30,11,경북본부,2035,639771
2024-12-30,12,경북본부,2006,639961
2024-12-30,13,경북본부,1923,639976
2024-12-30,14,경북본부,1954,640138
2024-12-30,15,경북본부,1922,640154
2024-12-30,16,경북본부,1892,640300
2024-12-30,17,경북본부,1896,640380
2024-12-30,18,경북본부,1882,640367
2024-12-30,19,경북본부,1835,640387
2024-12-30,20,경북본부,1794,640473
2024-12-30,21,경북본부,1745,640545
2024-12-30,22,경북본부,1708,640738
2024-12-30,23,경북본부,1704,640700
2024-12-30,24,경북본부,1805,640600
2024-12-30,01,부산울산본부,5306,1448009
2024-12-30,02,부산울산본부,5172,1448220
2024-12-30,03,부산울산본부,5121,1448231
2024-12-30,04,부산울산본부,5072,1448239
2024-12-30,05,부산울산본부,5139,1448077
